vertice,x,y
369,600832.165,7842146.656
370,600803.443,7842178.945
371,600787.018,7842210.924
372,600779.641,7842237.685
373,600777.684,7842256.177
374,600778.490,7842278.784
375,600785.929,7842303.194
376,600809.964,7842323.199
377,600841.918,7842315.931
378,600864.486,7842300.358
379,600878.569,7842287.782
380,600896.370,7842270.199
381,600905.445,7842262.515
382,600914.099,7842257.449
383,600931.201,7842250.807
384,600951.894,7842243.131
385,600968.873,7842234.846
386,600982.750,7842225.708
387,600995.235,7842214.817
388,601007.637,7842198.960
389,601049.079,7842180.954
390,601128.633,7842147.257
391,601164.040,7842155.070
392,601181.433,7842169.946
393,601184.643,7842181.116
394,601214.569,7842198.288
395,601325.638,7842148.675
397,601496.073,7842270.393
398,601509.183,7842321.077
399,601495.203,7842367.544
400,601518.211,7842371.932
401,601574.520,7842380.506
402,601587.379,7842410.129
403,601545.650,7842437.668
404,601577.182,7842477.500
405,601598.625,7842562.150
406,601605.737,7842630.591
407,601594.732,7842648.626
408,601599.242,7842684.982
409,601588.703,7842714.879
410,601515.942,7842763.309
411,601505.577,7842775.912
412,601160.896,7842961.888
413,601107.794,7843081.689
414,601176.725,7843166.681
415,601258.871,7843236.023
416,600718.020,7843682.460
417,600411.781,7843330.852
418,600305.106,7843207.746
419,600413.119,7843199.337
420,600434.630,7843180.150
421,600446.831,7843214.971
422,600487.743,7843204.829
424,600533.472,7843016.776
425,600539.349,7843007.708
426,600499.730,7842989.859
427,600510.992,7842955.786
428,600496.449,7842942.584
429,600479.061,7842946.011
430,600465.556,7842963.068
431,600410.380,7842970.963
432,600372.564,7842956.725
433,600337.478,7842951.753
434,600216.636,7842985.925
435,600200.149,7842967.093
436,600186.811,7842946.909
437,600142.526,7842929.770
438,600115.725,7842931.043
439,600097.737,7842938.150
440,600050.833,7842874.971
441,599951.157,7842914.871
442,599623.361,7843214.351
443,599506.464,7843274.928
444,599212.324,7843417.242
445,599141.417,7843443.887
446,599086.618,7843507.512
447,599103.584,7843619.560
448,599208.424,7843716.071
449,599355.073,7843851.127
450,599579.039,7843886.383
451,599738.165,7843790.691
452,600082.637,7843965.033
453,600116.663,7843956.644
454,600156.613,7843939.855
455,600180.300,7843943.238
456,600220.118,7843965.458
457,600245.326,7843966.081
458,600242.464,7843994.794
459,600240.245,7843996.428
460,599580.790,7844429.764
461,599233.389,7843976.323
462,599126.600,7844044.349
